Gene Symbol,GSM1559340,GSM1559311,GSM1559333,GSM1559305,GSM1559326,GSM1559353,GSM1559360,GSM1559329,GSM1559335,GSM1559366,GSM1559319,GSM1559341,GSM1559348,GSM1559322,GSM1559362,GSM1559371,GSM1559301,GSM1559368,GSM1559334,GSM1559349,GSM1559355,GSM1559323,GSM1559363,GSM1559307,GSM1559343,GSM1559310,GSM1559317,GSM1559313,GSM1559332,GSM1559308,GSM1559351,GSM1559365,GSM1559303,GSM1559304,GSM1559347,GSM1559338,GSM1559352,GSM1559361,GSM1559373,GSM1559312,GSM1559330
OPHN1,10.891408704155,11.3814820550643,10.8695216738147,10.8642541600103,11.1707776862685,10.8769580534789,10.8432947405233,11.5652417353173,10.8587133885214,11.0053857152555,10.7049283752858,10.7011286925476,10.8829087789469,10.6293487385731,10.7171464516024,10.6091539853545,10.9850707744505,10.7251138186806,11.0395158042857,11.1836657226256,11.0207898630318,10.8829087789469,11.1520565421028,10.8720854021767,11.0534555053291,10.8543140222165,11.1206525189582,10.8887061452098,10.9166242010466,10.9557254950816,10.9265096432514,10.8023761641528,10.7537182099866,11.2570432009103,11.1711227856572,11.0875777533436,11.0076027569709,10.5918327446742,10.8494252481439,10.8872685328023,10.7528990527722
AK2,8.98827430454301,9.20268917271868,9.652230502488749,9.304782220205125,8.862758514741559,9.050090640205882,9.30005026997177,9.450022702159783,9.07350651215428,8.460841762933539,8.303994399375725,9.107023035341266,8.982430371436754,9.096944967929376,8.463062193100992,8.946727219129862,8.570217799799194,8.91353939564283,9.294496094463936,8.777940786846111,9.196074655956886,8.359512246018289,8.582621152430068,8.614476038252109,9.135896508964075,8.970042330109518,8.912866117729914,9.314614222560175,8.817950898115255,9.073124549729998,8.358787693506047,9.078577749303664,9.371864239043289,8.714857022112762,9.445369334992373,9.18440983897489,9.56016504777521,9.416243791391825,9.036836981980796,8.685630224429664,9.070928746108246
NCKIPSD,7.262381873122377,7.661350510665173,7.768143301723613,7.667955166445654,7.8350249254084,7.681433265646036,7.774032507977137,7.873256703587494,7.457109160332256,7.5192310596955805,7.587311645756746,7.5437986966180866,7.850107530154477,7.667441356498653,7.502986433527404,7.647230382081747,7.76445463111106,7.704120342745926,7.983450402749127,7.437071189705564,7.568141208502933,7.82336055294471,7.501637811561366,7.670940693733978,7.736389233503144,7.91660533633386,7.882360211795846,7.898734109198233,7.507264330692027,7.639560337710996,7.546476614629903,7.6107335906842835,7.372885414246791,7.51854541859575,7.672801764326937,7.52924748717597,7.866252678836936,7.771780374626117,7.794618491635799,7.504976037738079,7.500357365828769
GDF1,6.163114825024746,6.706255300879425,6.537790059687611,6.61314147961156,6.827612489503656,6.73026085396931,6.147556429824165,6.327752532719631,6.163297214835,6.84630765566801,6.6039183389111695,6.35359749440082,6.763401357674915,6.7824649112934505,6.4722858359302,6.648485265053855,6.9820697372617495,8.1095906736767,7.0603863660618345,6.670197411238605,6.410038794906375,7.07788085143853,7.1349466904732,6.639575379485596,6.467070281481385,6.711454960909405,6.5112504601762495,6.35160404613385,7.1125039526044205,6.348641529526815,6.7700075007038905,6.884668343371275,6.477136835582775,6.669311936520705,6.60389892152684,6.50018741854568,6.788458633160239,6.57725374625904,6.74293199778604,7.44735063052501,6.71125901122343
DUSP7,6.963598519636729,6.67013464472711,7.084659946242265,6.890459475939955,7.07899392067306,6.65790110707688,7.333614458851285,7.943335676246715,7.133754685134105,6.466722200810805,7.391580010425095,7.110070481019255,6.8188648411851,7.355310465955689,7.44294594478009,7.276344728463361,7.561226685130125,8.046414007143145,7.162943496099755,6.5246174884383255,7.02237076887065,7.213872033715189,6.31432618892764,7.459258637027425,6.87348233483889,7.1870692978780095,7.374279326391335,7.05017458025509,7.42190006936001,7.28237178335176,7.102104193231495,7.583525554611205,7.07080103986977,7.327590213894365,7.148759588979905,6.89785833006193,7.603864814009475,7.517780315864526,6.83212526405746,7.500979107559214,7.530310861487705
RFPL3,7.24707533654073,7.4245410196552,7.05714943616518,7.04934277757477,7.19464818414192,7.28340537722383,7.27483966433957,7.77895919534338,7.42415672963903,7.10297772367024,7.18606564262069,7.09128392145652,7.18084512650096,7.16551532653119,7.16841403048702,7.3838102002617,7.4006264005547,6.98611367108154,7.83616860703048,7.4665633073136,7.29605558660713,7.40230245719055,7.76681811720992,7.66628104660681,7.2767652868014,7.32922038533942,7.37215959601126,7.58699545085108,7.50691392638112,7.66019278892067,7.24620361935451,7.41396768426957,6.69842424480014,7.3379964183234,7.23574551360394,7.3583423859347,7.29340713211726,7.60822504466193,7.28898893736291,7.1423891416858,6.75395730611093
COQ9,9.065757880735529,9.407278936728314,9.05419180520834,9.03426516967887,9.781976010755766,8.7839694488614,9.44060023609358,9.249826336429706,9.528500046897037,8.768651432877029,9.42456500335894,8.79609710232521,9.382757419077093,8.697369624730575,8.89392882371879,9.184278034832015,9.143068736365684,9.924617492875194,9.926507438523265,9.06593014019994,9.621715727820463,8.708575728716124,9.16699205806643,9.18663224463582,9.136989651097116,9.469355952195354,9.54571939506509,9.31138424290783,8.969793329621485,8.972640679828645,8.902746096435484,8.78768006743088,9.56296633117323,9.519532751279543,9.134129001102146,9.676848593303196,9.67222406188381,8.432128854409054,9.310967322325034,9.170096139394786,9.357967920509644
RALB,9.67616285335902,8.753182149992606,9.414247016461704,9.609604485721103,9.238481731482995,9.91538880100208,9.118866597500158,9.463323309173916,10.07953008878033,8.831912634950084,9.720344647668885,9.880314001444017,9.82845709974955,9.9706334158771,9.29182999182883,9.54703376493116,9.739094554754654,9.510822193508,8.636822170512165,10.21487866000685,10.007559325313537,9.603754505766103,9.50633606922448,9.46580910448863,9.96856698289563,9.56113821596713,9.07490769146695,9.345448326883377,9.945057996055631,8.768443347998325,9.055560941519284,9.756961932773743,10.106299598117785,9.338368694762146,9.275956603802296,9.680354045522677,9.49191271953709,9.435532871454814,9.642417532688505,9.410908011032054,9.759518076471714
TECPR2,7.413293820289379,7.424037239338505,7.354361840788956,7.15340907046844,7.863824924036175,7.477667897115775,7.603605776849239,7.66739081097188,7.22936822728765,8.09444602619391,7.745330512154235,7.56964133220896,7.4049757631353454,7.922653764427325,8.06585687241712,7.782659755357605,7.36020093400796,7.86438447472173,7.068846266259396,8.040448988941135,7.036847780957795,7.545757742173095,7.566304469028655,7.92153367279463,7.418789812164035,7.74411930201777,7.672728565247141,7.29649386659689,7.219471403219989,7.783943500431524,7.185914839610295,7.820417126506159,7.947789396353414,7.57056157545306,7.692568761306535,7.552355359461855,7.753621743234335,7.755687598143041,7.42216154116433,8.13480210264926,7.683076506368391
PLXNC1,7.680577293467804,6.836104420793082,6.92379315755814,6.474023473238923,7.764309664650782,7.127114655745334,7.09083606050692,7.197606927507348,7.402303617489425,6.572023646779465,7.13712249742844,7.477177468032607,6.711849413110848,8.005401362354142,7.957242732654976,7.024099314303696,7.334440207961615,6.37818403810003,5.837353567048723,7.1572738822935,7.28734679737612,6.607724961402755,6.8963022719219005,7.199706222941526,7.04242148591137,6.523448554663068,6.940446038866708,6.728728878868018,7.337083183414499,7.260374161286853,6.384501723206022,6.928250981656079,6.916330221103966,7.26184811808757,6.690578235601181,7.243464017147865,6.97550460171114,6.964821657223665,7.406929030845442,7.547331590863955,7.563008060795663
