"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"ZSCAN18",0.737513003442182,8.43034692732966,4.35498409893738,8.14200849187399e-05,0.353826902921016,-0.569279796817752,FALSE,FALSE,FALSE,"ZSCAN18",FALSE
"MYOM1",-1.07480772463135,6.97013647722381,-4.31193737993236,9.32595948658449e-05,0.353826902921016,-0.637496397792044,FALSE,FALSE,FALSE,"MYOM1",FALSE
"CDC14B",-0.670027454332484,6.88819615786726,-4.06537455225641,0.000201247362501184,0.509021662219661,-1.02660011849935,FALSE,FALSE,FALSE,"CDC14B",FALSE
"CTSC",-1.07452885703783,8.81976473132016,-3.85265481216797,0.000385744726990331,0.546575883413178,-1.35900442085574,FALSE,FALSE,FALSE,"CTSC",FALSE
"SUPT16H",-1.48589765945606,9.67610584481911,-3.79538985629781,0.000458546793021208,0.546575883413178,-1.4477860677696,FALSE,FALSE,FALSE,"SUPT16H",FALSE
"TUBA3C",-0.63737056557246,8.52547910970667,-3.78884096010012,0.000467672969168922,0.546575883413178,-1.45791750742704,FALSE,FALSE,FALSE,"TUBA3C",FALSE
"SREK1",-0.735790108732822,6.61082366060553,-3.76379430267315,0.000504221294661603,0.546575883413178,-1.49662293073947,FALSE,FALSE,FALSE,"SREK1",FALSE
"KRT18",-0.938352637395371,12.6966591405456,-3.61640878954194,0.000781854994327068,0.666112776281156,-1.72289248832173,FALSE,FALSE,FALSE,"KRT18",FALSE
"BTG3",1.62601374464498,8.76985064967614,3.59948593798123,0.000821858965385429,0.666112776281156,-1.74869657276762,FALSE,FALSE,FALSE,"BTG3",FALSE
"PON2",-1.05484082799972,9.52452632500805,-3.57280551669524,0.000888947382291544,0.666112776281156,-1.78929966166268,FALSE,FALSE,FALSE,"PON2",FALSE
"CYB5B",-0.933844116686389,7.2140852858434,-3.54457762928382,0.000965635284540421,0.666112776281156,-1.83214905833375,FALSE,FALSE,FALSE,"CYB5B",FALSE
"CLCN3",-0.824375648878791,8.56760489796811,-3.45013288761493,0.00127099784240962,0.758785467026661,-1.97465683031221,FALSE,FALSE,FALSE,"CLCN3",FALSE
"SLIRP",0.737152095412691,11.24602288491,3.40597073189594,0.00144361654902671,0.758785467026661,-2.04081307716063,FALSE,FALSE,FALSE,"SLIRP",FALSE
"PDLIM1",-1.27341609857628,11.7579144166233,-3.39012593521515,0.0015108345570226,0.758785467026661,-2.06447056760455,FALSE,FALSE,FALSE,"PDLIM1",FALSE
"TOX4",-0.942686626585762,8.64193426991653,-3.38265735644214,0.00154354334530162,0.758785467026661,-2.07560703406917,FALSE,FALSE,FALSE,"TOX4",FALSE
