	HCT_WT2	SW837D	R1-1	HCT_WT3	SW837	HCT116	HCT_WT1	SW620	R1-2	R1-3
ENSG00000223972	0	0	0	1	0	0	0	0	0	0
ENSG00000227232	84	5	0	141	51	150	142	196	0	2
ENSG00000278267	5	0	1	1	3	9	2	9	3	4
ENSG00000243485	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	2	0	1	2	0	7	4	4	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	8	0	7	17	6	64	34	1	3	0
ENSG00000269981	10	0	3	25	0	45	34	4	3	3
ENSG00000239906	0	0	0	1	0	1	2	0	0	0
ENSG00000241860	4	0	4	12	1	19	14	0	0	2
ENSG00000222623	2	0	0	2	0	1	2	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	4	5	0	1	0	0
ENSG00000279457	94	5	18	114	42	145	115	196	7	13
ENSG00000273874	0	0	0	0	0	0	0	1	0	0
ENSG00000228463	7	0	2	10	12	0	18	20	2	2
ENSG00000241670	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	3	0	0	1	0	0	0
ENSG00000236743	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	5	1	0	9	6	11	12	7	0	0
ENSG00000269732	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	1	0	0	0	0	0	1	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	1	0	0	1	5	7	4	0	1
ENSG00000235146	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	11	18	19	5	29	45	12	34	23	17
ENSG00000225630	160	1029	2976	176	8167	11801	233	7825	2582	2315
ENSG00000237973	405	146	126	359	612	884	614	482	114	87
ENSG00000278791	0	0	0	2	0	0	0	0	0	0
ENSG00000229344	25	44	10	17	106	153	31	91	8	6
ENSG00000240409	0	0	1	1	4	6	0	1	0	0
ENSG00000248527	2360	1899	2110	552	6487	11372	3064	7671	2441	1875
ENSG00000198744	21	1542	5	22	2125	174	56	85	7	0
ENSG00000268663	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	0	0	0	0	0	0	0	0	0	0
ENSG00000283574	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	146	28	25	262	338	220	309	247	12	27
ENSG00000223181	4	1	3	2	2	1	11	6	0	2
ENSG00000229905	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	85	27	28	112	83	86	142	46	26	28
ENSG00000230092	21	2	8	16	19	16	54	47	3	2
ENSG00000177757	0	0	0	1	0	0	0	0	0	0
ENSG00000228794	176	57	111	322	347	558	194	522	110	137
ENSG00000225880	31	5	17	29	29	36	26	46	5	7
ENSG00000230368	1	1	0	0	0	0	0	3	0	0
ENSG00000234711	0	0	0	0	1	1	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	5	0	5	3	29	14	25	5	1	0
ENSG00000230699	18	6	43	7	107	70	79	11	0	1
ENSG00000241180	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	67	19	167	3	353	238	365	3	1	2
ENSG00000187634	172	27	456	5	819	488	776	0	1	0
ENSG00000188976	2398	1396	1564	5219	6300	9535	2755	5364	3049	2955
ENSG00000187961	393	61	398	689	379	2277	622	626	240	257
ENSG00000187583	144	82	173	186	429	445	222	102	51	49
ENSG00000187642	1	2	8	0	21	13	6	3	0	0
ENSG00000272512	45	7	20	51	131	204	52	545	13	11
ENSG00000188290	261	23	304	233	343	897	419	543	114	108
ENSG00000187608	267	80	384	358	931	1223	404	415	285	255
ENSG00000231702	1	0	0	3	0	0	1	0	0	0
ENSG00000224969	10	1	3	4	3	1	5	2	3	0
ENSG00000188157	2922	1899	4268	3801	21249	4034	5531	6071	1681	1790
ENSG00000242590	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	39	13	54	57	99	173	103	187	26	31
ENSG00000273443	2	1	5	6	12	12	2	4	0	1
ENSG00000237330	67	63	95	36	543	152	133	47	11	11
ENSG00000131591	251	96	132	417	691	579	300	599	173	175
ENSG00000223823	9	0	16	3	9	1	27	77	1	0
ENSG00000207730	9	3	4	3	19	12	18	108	0	0
ENSG00000207607	2	1	10	4	14	15	11	58	1	2
ENSG00000198976	14	4	12	9	23	15	26	97	1	4
ENSG00000272141	67	13	58	68	148	100	87	694	18	33
ENSG00000205231	0	0	2	0	0	0	1	3	0	0
ENSG00000162571	8	4	4	7	46	9	7	131	1	4
ENSG00000186891	1	7	0	1	86	600	1	560	0	0
ENSG00000186827	1	0	1	2	3	3	1	22	1	0
ENSG00000078808	1468	724	1696	2192	4848	3692	2317	4221	1245	1186
ENSG00000176022	165	240	209	396	1393	569	300	1406	197	214
ENSG00000184163	5	1	5	3	18	32	15	24	0	3
ENSG00000260179	1	0	0	3	7	21	3	15	4	2
ENSG00000160087	827	339	610	1249	1817	1610	903	1660	687	730
ENSG00000230415	11	3	16	9	28	23	30	38	5	5
ENSG00000162572	75	12	107	72	107	139	166	180	15	27
ENSG00000131584	435	284	336	680	2269	1669	595	3090	223	271
ENSG00000278073	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	198	86	167	580	557	739	261	386	286	256
ENSG00000127054	821	480	946	1359	2893	2928	1316	3395	659	819
ENSG00000283712	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	25	11	9	28	49	71	29	69	16	25
ENSG00000224051	301	94	379	602	638	569	373	486	305	310
ENSG00000169962	18	2	10	13	7	5	16	204	2	3
ENSG00000107404	1143	788	1472	2017	4097	6618	1793	3506	1028	1047
ENSG00000284372	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	1	0	3	1	20	10	0	13	0	0
ENSG00000175756	1073	497	768	2061	2902	1999	1034	2134	1253	1280
ENSG00000223663	0	0	2	3	1	1	2	0	1	0
ENSG00000221978	2201	407	1794	2353	2769	4846	4463	4841	1101	1330
ENSG00000224870	198	91	179	312	607	472	280	748	156	178
